X	Y	Red	Green	Blue
470	65	0	0	153
471	65	0	0	153
472	65	0	0	153
473	65	0	0	153
474	65	0	0	153
475	65	0	0	153
476	65	0	0	153
470	66	0	0	153
476	66	0	0	153
470	67	0	0	153
476	67	0	0	153
470	68	0	0	153
476	68	0	0	153
470	69	0	0	153
476	69	0	0	153
470	70	0	0	153
470	71	0	0	153
470	72	0	0	153
470	73	0	0	153
470	74	0	0	153
470	75	0	0	153
476	75	0	0	153
470	76	0	0	153
476	76	0	0	153
470	77	0	0	153
476	77	0	0	153
470	78	0	0	153
476	78	0	0	153
470	79	0	0	153
476	79	0	0	153
470	80	0	0	153
476	80	0	0	153
470	81	0	0	153
476	81	0	0	153
470	82	0	0	153
476	82	0	0	153
470	83	0	0	153
476	83	0	0	153
464	84	0	0	153
465	84	0	0	153
466	84	0	0	153
467	84	0	0	153
468	84	0	0	153
469	84	0	0	153
470	84	0	0	153
476	84	0	0	153
464	85	0	0	153
476	85	0	0	153
464	86	0	0	153
476	86	0	0	153
464	87	0	0	153
476	87	0	0	153
464	88	0	0	153
476	88	0	0	153
464	89	0	0	153
476	89	0	0	153
464	90	0	0	153
476	90	0	0	153
464	91	0	0	153
476	91	0	0	153
464	92	0	0	153
476	92	0	0	153
464	93	0	0	153
476	93	0	0	153
464	94	0	0	153
476	94	0	0	153
464	95	0	0	153
476	95	0	0	153
464	96	0	0	153
476	96	0	0	153
464	97	0	0	153
476	97	0	0	153
464	98	0	0	153
476	98	0	0	153
464	99	0	0	153
476	99	0	0	153
477	99	0	0	153
478	99	0	0	153
479	99	0	0	153
480	99	0	0	153
481	99	0	0	153
464	100	0	0	153
481	100	0	0	153
464	101	0	0	153
481	101	0	0	153
464	102	0	0	153
481	102	0	0	153
464	103	0	0	153
481	103	0	0	153
464	104	0	0	153
481	104	0	0	153
464	105	0	0	153
481	105	0	0	153
464	106	0	0	153
481	106	0	0	153
464	107	0	0	153
481	107	0	0	153
464	108	0	0	153
481	108	0	0	153
464	109	0	0	153
481	109	0	0	153
464	110	0	0	153
481	110	0	0	153
464	111	0	0	153
481	111	0	0	153
464	112	0	0	153
481	112	0	0	153
464	113	0	0	153
481	113	0	0	153
464	114	0	0	153
481	114	0	0	153
464	115	0	0	153
481	115	0	0	153
464	116	0	0	153
481	116	0	0	153
464	117	0	0	153
481	117	0	0	153
464	118	0	0	153
481	118	0	0	153
464	119	0	0	153
481	119	0	0	153
464	120	0	0	153
481	120	0	0	153
464	121	0	0	153
481	121	0	0	153
464	122	0	0	153
481	122	0	0	153
464	123	0	0	153
481	123	0	0	153
464	124	0	0	153
481	124	0	0	153
464	125	0	0	153
481	125	0	0	153
464	126	0	0	153
481	126	0	0	153
464	127	0	0	153
481	127	0	0	153
464	128	0	0	153
481	128	0	0	153
464	129	0	0	153
481	129	0	0	153
464	130	0	0	153
481	130	0	0	153
464	131	0	0	153
481	131	0	0	153
464	132	0	0	153
481	132	0	0	153
464	133	0	0	153
481	133	0	0	153
464	134	0	0	153
481	134	0	0	153
464	135	0	0	153
481	135	0	0	153
464	136	0	0	153
481	136	0	0	153
464	137	0	0	153
481	137	0	0	153
464	138	0	0	153
481	138	0	0	153
464	139	0	0	153
481	139	0	0	153
464	140	0	0	153
481	140	0	0	153
464	141	0	0	153
481	141	0	0	153
464	142	0	0	153
481	142	0	0	153
464	143	0	0	153
481	143	0	0	153
