Erecoil_keV_high    GGA1_ER_high
9.99176             1.5073
10.3977             1.48881
10.7845             1.4703
11.3552             1.44694
12.0167             1.42316
12.7205             1.40053
13.4695             1.37901
14.2665             1.35857
15.1144             1.33918
16.016              1.32079
16.9742             1.30339
17.9919             1.28694
19.0719             1.27141
20.2171             1.25677
21.4303             1.24298
22.7144             1.23001
24.0723             1.21783
25.5067             1.2064
27.0206             1.19571
28.6169             1.18571
30.2983             1.17636
32.0678             1.16765
33.9281             1.15954
35.8822             1.15199
37.9329             1.14498
40.0831             1.13846
42.3356             1.13242
44.6932             1.12681
47.1589             1.12161
49.7355             1.11678
52.4259             1.11229
55.2329             1.10812
58.1593             1.10421
61.2081             1.10056
64.382              1.09711
67.5302             1.0945
70.1079             1.09237
72.6876             1.09017
75.2759             1.08848
77.8649             1.08686
80.4545             1.08532
83.0451             1.08387
85.6366             1.08252
88.2292             1.08129
90.8231             1.08018
93.4183             1.07919
96.015              1.07836
98.6133             1.07767
101.202             1.07652
103.79              1.07531
106.387             1.07472
108.984             1.07405
111.58              1.07334
114.176             1.07265
116.773             1.07204
119.371             1.07156
121.971             1.07128
124.561             1.07017
127.16              1.07017
129.758             1.07001
132.353             1.06947
134.949             1.06897
137.546             1.06851
140.142             1.06808
142.74              1.06768
145.337             1.06732
147.935             1.06699
150.533             1.06668
153.132             1.06641
155.731             1.06616
158.33              1.06593
160.93              1.06573
163.529             1.06555
166.129             1.06539
168.729             1.06525
171.329             1.06512
173.929             1.06502
176.53              1.06492
179.119             1.06382
181.718             1.06382
184.317             1.06382
186.915             1.06382
189.514             1.06382
192.113             1.06382
194.712             1.06382
197.3               1.06276
199.899             1.06276
