Erecoil_keV_low    GGA1_ER_low
5.08892            0.00772824
5.18512            0.0264365
5.28132            0.0451447
5.39755            0.0638469
5.51555            0.0825487
5.63262            0.101251
5.74844            0.119953
5.86425            0.138656
6.02034            0.157343
6.16382            0.17598
6.31036            0.194635
6.46154            0.213305
6.61847            0.231986
6.78224            0.250677
6.95393            0.269373
7.13465            0.288071
7.32548            0.306769
7.52753            0.325464
7.74189            0.344152
7.96964            0.362829
8.21189            0.381494
8.46972            0.400143
8.74424            0.418772
9.03653            0.437379
9.34769            0.45596
9.67882            0.474513
10.031             0.493034
10.4053            0.51152
10.829             0.529968
11.3136            0.548359
11.8201            0.56672
12.3312            0.585076
12.895             0.603357
13.5186            0.621532
14.2089            0.63957
14.9731            0.65744
15.8184            0.675109
16.7518            0.692547
17.7805            0.709722
18.9114            0.726603
20.1658            0.743077
21.5984            0.758692
23.1622            0.773638
24.815             0.788227
26.6418            0.801698
28.59              0.814018
30.6484            0.825247
32.8055            0.835445
35.05              0.844674
37.3704            0.852992
39.7555            0.86046
42.1938            0.867138
44.674             0.873086
47.1847            0.878365
49.7145            0.883035
52.2521            0.887155
54.786             0.890787
57.3054            0.894774
59.8782            0.897418
62.4476            0.900217
65.0203            0.902864
67.5736            0.905252
70.1431            0.907461
72.7264            0.9095
75.3204            0.911377
77.9219            0.913097
80.5277            0.914665
83.1347            0.916089
85.7397            0.917372
88.3394            0.918522
90.9308            0.919545
93.5107            0.920445
96.0789            0.921995
98.6709            0.922681
101.262            0.92367
103.859            0.92438
106.458            0.925085
109.057            0.925792
111.655            0.926508
114.253            0.92724
116.848            0.927996
119.444            0.928337
122.042            0.928428
124.63             0.929594
127.227            0.929916
129.825            0.930253
132.423            0.930602
135.02             0.930958
137.618            0.931319
140.215            0.931679
142.813            0.932036
145.411            0.932386
148.009            0.932725
150.608            0.933049
153.206            0.933355
155.805            0.933638
158.404            0.933896
161.003            0.934124
163.602            0.934318
166.202            0.934475
168.802            0.934592
171.402            0.934664
174.002            0.934725
176.591            0.935741
179.19             0.935741
181.789            0.935741
184.387            0.935741
186.986            0.935741
189.585            0.935741
192.173            0.936804
194.772            0.936804
197.371            0.936804
199.97             0.936804
