'Erecoil (keV)'    '1-sigma NR width'    'Error in 1-sigma NR width'
60.9557            0.0498071             0.00416123
45.8291            0.0397206             0.00217706
133.464            0.0320596             0.00173647
118.701            0.0292767             0.00176366
104.368            0.0264385             0.00184608
90.6426            0.0304069             0.00184694
75.63              0.0314538             0.0022871
60.9557            0.0498071             0.00416123
45.8291            0.0397206             0.00217706
30.8666            0.0420357             0.00498761
15.8786            0.0597551             0.00518093
