'Erecoil_keV_low'    'GGA1_NR_low    Erecoil_keV_high    GGA1_NR_high
11.0197              -0.00202794     1.89725             1.50072
11.3235              0.00508184      1.92804             1.4886
11.6309              0.0121827       1.95883             1.47648
11.9934              0.0191483       1.98962             1.46436
12.3254              0.0261916       2.02041             1.45224
12.6585              0.0332293       2.0512              1.44013
13.115               0.0399434       2.05803             1.42801
13.5195              0.0471839       2.05803             1.41589
13.9395              0.05427         2.07589             1.40377
14.3757              0.0612048       2.09671             1.39165
14.8287              0.0679911       2.11753             1.37953
15.299               0.0746319       2.13835             1.36741
15.7873              0.0811301       2.15917             1.35529
16.2942              0.0874887       2.17998             1.34317
16.8202              0.0937106       2.2008              1.33105
17.366               0.0997989       2.22162             1.31893
17.9321              0.105756        2.24244             1.30681
18.5193              0.111586        2.26326             1.29469
19.128               0.117291        2.28408             1.28257
19.7588              0.122873        2.3049              1.27045
20.4124              0.128337        2.32572             1.25833
21.0894              0.133685        2.34654             1.24621
21.7904              0.138919        2.388               1.2341
22.5159              0.144044        2.43472             1.22198
23.2665              0.149061        2.48143             1.20986
24.043               0.153974        2.52815             1.19775
24.8458              0.158786        2.57486             1.18563
25.6755              0.163499        2.62157             1.17352
26.5328              0.168117        2.65936             1.1614
27.4183              0.172642        2.68848             1.14928
28.3246              0.17687         2.71759             1.13716
29.2159              0.180621        2.74671             1.12504
30.0816              0.184727        2.77582             1.11292
31.0026              0.188528        2.81103             1.10084
31.9265              0.192183        2.85418             1.08879
32.8532              0.195698        2.89778             1.07671
33.783               0.199077        2.942               1.06463
34.7159              0.202326        2.98698             1.05253
35.652               0.205452        3.03288             1.04041
36.5914              0.208459        3.07985             1.02829
37.5344              0.211353        3.12805             1.01615
38.4809              0.214139        3.17764             1.00401
39.4311              0.216823        3.22877             0.991864
40.3851              0.219411        3.28159             0.979712
41.343               0.221908        3.33627             0.967557
42.305               0.224319        3.39295             0.955401
43.2711              0.226649        3.45178             0.943245
44.2416              0.228906        3.51293             0.931091
45.2163              0.231093        3.57656             0.918941
46.1956              0.233216        3.6428              0.906796
47.1795              0.235282        3.71183             0.894658
48.1682              0.237295        3.78379             0.882529
49.1616              0.23926         3.85884             0.87041
50.1601              0.241184        3.93713             0.858303
51.1636              0.243072        4.01882             0.846209
52.1723              0.24493         4.10407             0.83413
53.1863              0.246762        4.19302             0.822067
54.2057              0.248574        4.28584             0.810023
55.2294              0.250173        4.38268             0.797999
56.2438              0.251492        4.49544             0.785928
57.2435              0.253307        4.61268             0.773837
58.2593              0.254577        4.72992             0.761746
59.2566              0.25653         4.84716             0.749655
60.2724              0.258059        4.93135             0.73755
61.2878              0.259545        5.02639             0.725451
62.3027              0.260989        5.16416             0.713375
63.3173              0.262394        5.31209             0.701301
64.3316              0.263762        5.47122             0.689232
65.3459              0.265094        5.64256             0.677172
66.3601              0.266394        5.82715             0.665121
67.3743              0.267662        6.02601             0.653083
68.3887              0.268902        6.24016             0.641059
69.4034              0.270116        6.47064             0.629053
70.4185              0.271305        6.71846             0.617066
71.434               0.272471        6.98466             0.605101
72.4501              0.273618        7.27026             0.59316
73.4669              0.274746        7.57629             0.581246
74.4844              0.275858        7.90377             0.569361
75.5028              0.276957        8.25374             0.557508
76.5222              0.278044        8.62721             0.545688
77.5427              0.279121        9.04033             0.533937
78.5643              0.280191        9.54973             0.522385
79.5872              0.281256        10.0768             0.51088
