'Erecoil_keV'    GGA1_NR_mid
1.02904          0.159922
1.31515          0.167136
1.60126          0.174349
2.0573           0.181087
2.45114          0.18775
2.89932          0.193344
3.39607          0.198764
3.93956          0.204011
4.52794          0.209091
5.15937          0.214006
5.83199          0.21876
6.54398          0.223358
7.29347          0.227801
8.07864          0.232095
8.89763          0.236242
9.7486           0.240246
10.6297          0.244111
11.5391          0.24784
12.475           0.251437
13.4354          0.254905
14.4186          0.258249
15.4227          0.261471
16.4459          0.264575
17.4864          0.267566
18.5422          0.270445
19.6115          0.273218
20.6925          0.275887
21.7834          0.278456
22.8823          0.280929
23.9874          0.28331
25.0968          0.285601
26.2086          0.287807
27.3211          0.289931
28.4324          0.291977
29.5406          0.293948
30.6439          0.295847
31.7404          0.29768
32.8284          0.299448
33.9059          0.301156
34.9711          0.302807
36.0223          0.304405
37.0574          0.305953
38.0748          0.307455
39.0724          0.308915
40.0486          0.310336
41.0015          0.311722
41.9291          0.313075
42.8297          0.314401
43.7015          0.315703
44.5425          0.316983
45.4638          0.318149
46.4948          0.31921
47.5258          0.320271
48.5568          0.321331
49.586           0.322477
50.6142          0.323707
51.6433          0.324922
52.6726          0.326115
53.7023          0.327289
54.7323          0.328443
55.7626          0.329579
56.7932          0.330695
57.824           0.331793
58.8552          0.332874
59.8867          0.333937
60.9184          0.334983
61.9504          0.336013
62.9826          0.337027
64.0151          0.338025
65.0478          0.339007
66.0807          0.339975
67.1139          0.340929
68.1473          0.341869
69.1808          0.342795
70.2146          0.343708
71.2486          0.344609
72.2827          0.345498
73.317           0.346374
74.3515          0.34724
75.3862          0.348094
76.4209          0.348938
77.4559          0.349772
78.4909          0.350597
79.5261          0.351412
80.5614          0.352219
81.5968          0.353017
82.6323          0.353808
83.6679          0.354591
84.7036          0.355367
85.7394          0.356136
86.7752          0.356899
87.8111          0.357657
88.8471          0.35841
89.8831          0.359157
90.9191          0.3599
91.9552          0.360639
92.9912          0.361375
94.0273          0.362108
95.0634          0.362838
96.0995          0.363565
97.1356          0.364291
98.1717          0.365016
99.2077          0.365739
100.244          0.366462
101.28           0.367185
102.316          0.367908
103.351          0.368632
104.387          0.369358
105.423          0.370085
106.461          0.370549
107.497          0.371094
108.533          0.371604
109.573          0.371957
110.61           0.37262
111.648          0.373277
112.685          0.373928
113.723          0.374574
114.761          0.375215
115.799          0.37585
116.837          0.376481
117.874          0.377106
118.912          0.377726
119.95           0.378341
120.988          0.37895
122.027          0.379555
123.065          0.380155
124.103          0.38075
125.141          0.381341
126.179          0.381926
127.218          0.382507
128.256          0.383083
129.294          0.383655
130.333          0.384222
131.371          0.384785
132.41           0.385343
133.448          0.385897
134.487          0.386446
135.526          0.386991
136.564          0.387532
137.603          0.388069
138.642          0.388602
139.681          0.38913
140.72           0.389655
141.758          0.390175
142.797          0.390692
143.836          0.391205
144.875          0.391714
145.914          0.39222
146.953          0.392721
147.992          0.393219
149.032          0.393714
150.071          0.394205
151.11           0.394692
152.149          0.395176
153.188          0.395657
154.228          0.396134
155.267          0.396608
156.306          0.397079
157.346          0.397547
158.385          0.398011
159.425          0.398473
160.464          0.398931
161.503          0.399387
162.543          0.399839
163.583          0.400289
164.622          0.400736
165.662          0.401181
166.701          0.401622
167.741          0.402061
168.781          0.402498
169.82           0.402932
170.86           0.403363
171.9            0.403792
172.939          0.404219
173.979          0.404643
175.019          0.405065
176.059          0.405485
177.099          0.405903
178.139          0.406318
179.178          0.406732
180.218          0.407143
181.258          0.407553
182.298          0.407961
183.338          0.408367
184.378          0.408771
185.418          0.409173
186.458          0.409574
187.498          0.409973
188.538          0.41037
189.578          0.410766
190.618          0.411161
191.658          0.411554
192.698          0.411946
193.739          0.412336
194.779          0.412726
195.819          0.413114
196.859          0.4135
197.899          0.413886
198.929          0.414977
199.97           0.414993
