1	1.01353953018   0.0238308606737 60  1.49946510279
2	1.03001460624   0.0280901271132 60  1.66587051369
3	0.449656081798  0.0304703337561 60  1.43469316103
4	0.98621953497   0.00525674281882    60  1.73239226599
5	0.780288339939  0.00375535302855    60  1.74797512496
6	0.924963013628  0.0298731222537 60  1.666101934
7	0.697159662498  0.00445321413078    60  1.76871817458
8	0.857924790868  0.00392178040043    60  1.74956526234
9	0.457288728276  0.00756217616305    60  1.65497574142
10	1.39566007539   0.020486726926  60  1.57190217119
11	0.576660695399  0.00851979692351    60  1.69132647509
12	0.673088359832  0.0074269657091 60  1.58185149812
13	1.92810301715   0.0707152274515 60  1.75098233223
14	0.67863371223   0.00830387619777    60  1.61144184724
15	0.93274948308   0.0365111069156 60  1.24940415234
