1	0.332760797345    0.00019835714224    33.7670440674    2.50230122693
2	0.45994912435    0.000106593653121    33.8445167542    2.6820629771
3	0.394591101154    0.000232324278768    39.759929657    2.43420862086
4	0.375375053635    0.000443531339946    45.6738967896    2.27918140859
5	0.265798487305    0.000193147688512    32.1962165833    2.48793939771
6	0.335426233245    0.000281223574047    34.1054992676    2.43763376148
7	0.272858796846    0.000161118314682    30.6532363892    2.54953685633
8	0.250276141408    0.000346909589804    36.5699653625    2.32952744384
9	0.209890113085    0.000164040443327    28.6344127655    2.52906360765
10	0.567098272962    0.000435638500391    48.713054657    2.31838427691
11	0.20479000298    0.000546270027759    37.7726783752    2.22887524425
12	0.19928514464    0.000509917835152    36.1960220337    2.24639647718
13	0.664018762961    0.00140105688607    63.7306442261    2.13383564842
14	0.278420660788    0.000300751540861    33.1733818054    2.40599127343
15	0.260945617653    0.000316596396758    27.6348228455    2.46349820818
