0 1,000 1,200 0,375* 5,625 0,0656 17,78 0,0075
0,010 0,985 1,208 0,374 5,834 0,0619 18,46 0,0069
0,020 0,972* 1,250 0,364 6,042 0,0587 19,20 0,0064
0,030 0,959 1,300 0,353' 6,250 0,0554 20,00 0,0058
0,040 0,947* 1,400 0,333* 6,458 0,0526 20,87 0,0053
0,050 0,935* 1,458 0,322 6,667 0,0500 21,82 0,0048
0,060 0,924 1,500 0,315' 6,875 0,0473 22,85 0,0043
0,080 0,902 1,600 0,297* 7,083 0,0450 24,00 0,0038
0,100 0,882 1,667 0,287 7,292 0,0430 25,26 0,0034
0,150 0,835 1,700 0,283' 7,500 0,0408 26,67 0,0030
0,200 0,793 1,800 0,268* 7,708 0,0389 28,24 0,0026
0,250 0,755 1,875 0,259 7,917 0,0371 30,00 0,0022
0,292 0,727 1,900 0,255' 8,125 0,0355 32,00 0,0019
0,300 0,721* 2,000 0,244* 8,333 0,0340 34,00 0,0017*
0,333 0,700 2,083 0,234 8,542 0,0321 34,29 0,0016
0,350 0,691 * 2,200 0,221' 8,750 0,0310 36,00 0,0015*
0,375 0,675 2,292 0,212 8,958 0,0298 36,92 0,0011
0,400 0,660* 2,400 0,202' 9,167 0,0287 38,00 0,0013*
0,417 0,651 2,500 0,193 9,375 0,0275 40,00 0,0011*
0,458 0,627 2,600 0,185' 9,583 0,0265 45,00 0,00079*
0,500 0,607 ~,708 0,176 9,792 0,0255 50,00 0,00061*
0,542 0,582 2,800 0,170' 10,000 0,0244 55,00 0,00049*
0,584 0,569 2,918 0,162 10,22 0,0235 60,00 0,00039*
0,600 0,562* 3,000 0,157* 10,44 0,0225 65,00 0,00031*
0,625 0,552 3,125 0,150 10,67 0,0216 70,00 0,00026*
0,667 0,535 3,200 0,145' 10,92 0,0206 75,00 0,00022*
0,700 0,521* 3,333 0,138 11,16 0,0198 80,00 0,00018*
0,709 0,518 3,400 0,134' 11,43 0,0189 85,00 0,00015*
0,750 0,502 3,500 0,130* 11,72 0,0180 90,00 0,00012*
0,792 0,488 3,542 0,127 12,01 0,0171 95,00 0,00011*
0,800 0,485* 3,600 0,125' 12,31 0,0163 100,00 0,00010*
0,833 0,475 3,750 0,118 12,63 0,0155 200,00 0,0'15'
0,875 0,461 3,800 0,116' 12,97 0,0147 300,00 0,0546'
0,900 0,453* 3,960 0,110 13,33 0,0139 400,00 0,0520'
0,917 0,449 4,000 0,108* 13,72 0,0131 500,00 0,0510'
0,958 0,436 4,167 0,102 14,lll 0,0123 600,00 0,0661'
1,000 0,425 4,375 0,0956 14,55 0,0116 700,00 0,0639'
1,042 0,414 4,583 0,0895 15,01 0,0109 800,00 0,0626'
1,083 0,406 4,792 0,0837 15,48 0,0102 900,00 0,0618'
1,100 0,398' 5,000 0,0788 16,00 0,0094 1000,00 0,0613'
1,125 0,393 5,209 0,0739 16,56 0,0088
1,167 0,382 5,418 0,0695 17,14 0,0081
