1	0.180381355192    0.137788562216
2	0.159585729828    0.154468052577
3	0.167708074621    0.151052413882
4	0.187966519634    0.129143357088
5	0.165622772111    0.158469616089
6	0.176576700307    0.148561657202
7	0.191409853084    0.123906584529
8	0.170510248174    0.146395151702
9	0.170513881871    0.149645227642
10	0.154778085638    0.167180571558
11	0.192297289886    0.128585667243
12	0.172953577137    0.148224933587
13	0.174439749863    0.144524978283
14	0.173334373481    0.156990555828
15	0.149591661413    0.176408188281
