EV	DT	TS	P	Type	E1	D3	PX3	PY3	PZ3	X3	Y3	Z3	time3	PX1	PY1	PZ1	X1	Y1	Z1	time1	nCap	
5	1	500020	400000	22	0.1633189998	0	0.0622367949	0.1101528079	-0.02081275293	-32.04459299	33.48611149	25.9316202	4.018086823	0.1065545097	-0.009609609641	0.1233972753	-36.74394104	33.90992181	20.4894597	3.994060806	0	
5	1	500021	400000	22	0.1282194619	0.011103	0	0	-0	-30.90923061	35.49558764	25.551941	4.025889085	0.0622367949	0.1101528079	-0.02081275293	-32.04459299	33.48611149	25.9316202	4.018086823	0	
5	1	1100001	500000	11	0.1171164619	0.1171164619	0	0	-0	-30.90771363	35.49826034	25.54299899	4.025943323	0.0585995153	0.1032441613	-0.3454211551	-30.90923061	35.49558764	25.551941	4.025889085	0	
5	1	1000001	500000	11	0.03509953786	0.03509953786	0	-0	0	-32.04430801	33.48534137	25.93254754	4.018098537	0.0443177148	-0.1197624175	0.1442100282	-32.04459299	33.48611149	25.9316202	4.018086823	0	
1105	1	300029	0	22	0.4645618973	0	-0.1012643308	-0.03616527862	-0.1334443533	20.88991965	-4.699468486	23.76235297	3.230429726	0.1755332877	0.2951322955	0.3128941506	18.80403921	-8.206556467	20.044199	3.212015528	0	
1105	1	300030	0	22	0.1713761579	0	-0.09514360778	-0.1070062778	-0.07914046419	19.98597344	-5.022301476	22.57114855	3.235532611	-0.1012643308	-0.03616527862	-0.1334443533	20.88991965	-4.699468486	23.76235297	3.230429726	0	
1105	1	300031	0	22	0.1636027587	0.011103	-0	-0	-0	18.07299046	-7.173798495	20.97992908	3.246505006	-0.09514360778	-0.1070062778	-0.07914046419	19.98597344	-5.022301476	22.57114855	3.235532611	0	
1105	1	800001	300000	11	0.1524997587	0.1524997587	-0	-0	-0	18.06722703	-7.186813423	20.97659555	3.246581458	-0.1668478889	-0.3767749905	-0.09650381273	18.07299046	-7.173798495	20.97992908	3.246505006	0	
1105	1	700001	300000	11	0.007773399214	0.007773399214	-0	0	-0	19.98596639	-5.022219884	22.571086	3.235534604	-0.006120722994	0.07084099914	-0.05430388914	19.98597344	-5.022301476	22.57114855	3.235532611	0	
1105	1	600001	300000	11	0.2931857394	0.2931857394	0	0	0	20.90843321	-4.677309711	23.79220623	3.23060915	0.2767976184	0.3312975742	0.4463385039	20.88991965	-4.699468486	23.76235297	3.230429726	0	
1221	1	200017	0	22	9.637	0	-2.605539499	-3.348126829	8.652917407	31.42373671	-32.01123073	53.368999	2.746011438	-2.605539499	-3.348126829	8.652917407	41.45839654	-19.11665984	20.044199	2.622209869	0	
1297	1	5800017	100000	22	0.1839951399	0	-0.06609807616	0.006988155583	-0.1707447891	41.93220538	9.885036803	34.02359624	196169.8054	-0.04882896825	-0.0142728709	-0.1768225906	47.27437379	11.44657051	53.368999	196169.7382	0	
1297	1	5800018	100000	22	0.1832254704	0.011103	-0	0	-0	38.16686315	10.28312399	24.29695059	196169.8402	-0.06609807616	0.006988155583	-0.1707447891	41.93220538	9.885036803	34.02359624	196169.8054	0	
